id,destination,season,min_days,max_days,min_people,max_people,price_per_adult,price_per_child,description
1,Shimla,Winter,3,5,2,6,15000,7000,"Experience the snow-capped mountains of Shimla."
2,Goa,Winter,4,7,2,10,20000,9000,"Relax on the sunny beaches of Goa."
3,Kerala,Monsoon,5,10,2,8,25000,12000,"Explore the serene backwaters of Kerala."
4,Jaipur,Summer,2,4,1,5,12000,6000,"Discover the royal palaces of the Pink City."
5,Rishikesh,Summer,3,6,2,12,10000,5000,"Adventure sports and spiritual vibes by the Ganges."
6,Leh-Ladakh,Summer,7,14,2,4,40000,20000,"A thrilling bike trip through mountain passes."
7,Darjeeling,Autumn,4,6,2,6,18000,8000,"Enjoy the toy train and tea gardens."
8,Manali,Winter,4,8,2,5,16000,7200,"Skiing and snowboarding among the Himalayan peaks."
9,Ooty,Autumn,3,5,2,6,17000,8000,"Misty hills and botanical gardens await in Ooty."
10,Udaipur,Spring,2,4,1,4,15000,7000,"Romantic boat rides and regal architecture in Udaipur."
11,Mysore,Winter,3,6,2,8,14000,6500,"Witness royal heritage and grand palaces in Mysore."
12,Pondicherry,Winter,2,5,2,6,15500,7000,"French vibes and serene beaches in Pondicherry."
13,Agra,Autumn,2,4,2,10,13000,6000,"Home of the magnificent Taj Mahal."
14,Varanasi,Spring,3,6,1,5,12500,5800,"Spiritual ghats and soulful Ganga aartis."
15,Kolkata,Winter,4,7,2,8,16000,7500,"Colonial charm and cultural richness in Kolkata."
16,Mumbai,Summer,3,6,2,6,18000,8500,"The city that never sleeps, full of Bollywood dreams."
17,Chennai,Autumn,3,5,2,7,15000,7000,"Temples and beaches meet in this cultural hub."
18,Hyderabad,Monsoon,2,5,1,5,15500,7300,"Biryani, pearls, and Mughal grandeur."
19,Bangalore,Spring,3,6,2,10,16000,7500,"The garden city with tech and tradition."
20,Coorg,Monsoon,4,7,2,6,17000,8200,"Coffee plantations and misty hills in Coorg."
21,Andaman,Winter,5,9,2,6,30000,14000,"Pristine beaches and underwater adventures."
22,Nainital,Summer,3,6,2,8,15000,7000,"Boating in the lake and cable car rides."
23,Mussoorie,Summer,3,5,2,6,14500,6800,"The queen of hills with colonial charm."
24,Auli,Winter,4,7,2,4,25000,12000,"Perfect for skiing and snow activities."
25,Kasol,Spring,3,5,2,6,13500,6400,"Chill Himalayan vibes and cafes by the river."
26,Spiti,Summer,7,12,2,4,28000,13500,"Barren beauty and monasteries in Spiti Valley."
27,Tawang,Spring,5,9,2,6,26000,12000,"Peaceful town with Buddhist monasteries."
28,Shillong,Monsoon,4,6,2,6,19000,8500,"Scotland of the East with waterfalls."
29,Cherrapunji,Monsoon,3,5,2,5,18500,8200,"Wettest place on Earth, rich with nature."
30,Kodaikanal,Summer,3,6,2,6,16000,7500,"The princess of hill stations."
